first_name,last_name,price,above_100
William,Dixon,109.03727963458522,true
Kristen,Horn,262.5246521922521,true
Kimberly,Chang,187.0072582777407,true
Mary,Ball,283.17464763656955,true
Benjamin,Craig,143.8715816881791,true
Cathy,Werner,61.50899135285132,
Brandon,Bell,48.63730910375834,
Paul,Farley,12.38946478859294,
Sarah,Mcdaniel,151.59544716874203,true
Caroline,Anderson,75.62152102993683,
Carl,Jones,147.02940469082753,true
Scott,Lee,244.1856527060776,true
Kaylee,Coleman,17.864270321996845,
Charles,Parker,215.5372830242686,true
Susan,Hess,38.35997062871797,
Kiara,Collier,204.18254858412087,true
Scott,Martinez,165.8514289408149,true
Christopher,Ortega,30.30144506447241,
Michael,Russell,243.17249105103508,true
Dwayne,Johnson,287.4932856123935,true
Patty,Smith,180.23442574473592,true
Deanna,Sherman,99.79911841562617,
Douglas,Francis,161.7688908056352,true
Vicki,Diaz,18.649876721417435,
Robin,Phillips,244.91198356198336,true
Travis,Rice,141.49882541077946,true
Ashley,Rocha,50.00303730985961,
Sarah,Jacobson,80.48182457363062,
Kayla,Shannon,98.91531394497848,
Sean,Wang,220.62821774950513,true
Richard,Estrada,49.168691512056014,
Joseph,Torres,150.12378419766594,true
Kim,Jones,18.84343770225838,
Melissa,Tanner,269.18402994297986,true
Jackson,Cline,64.3125172107435,
Sonya,Foster,296.2155012166741,true
Allen,Williams,15.390831703593,
Thomas,Rivera,95.22843715592121,
Jamie,Silva,296.82440753934657,true
Kathleen,Moore,92.50052419128964,
Evelyn,Pineda,169.22892925664138,true
Kyle,Peters,106.7990952132163,true
Anthony,Cruz,49.10199817319769,
Eric,Flores,122.95569856549317,true
Anna,Richardson,254.49526058922797,true
Gary,Harper,47.59652591777343,
Linda,Johnson,115.36278154605294,true
Melissa,Smith,87.97994845806542,
Kristen,Floyd,135.02304134412356,true
William,Diaz,192.14913546689587,true
Benjamin,Smith,134.90529389051355,true
David,Glenn,216.29104632060702,true
Dawn,Jones,271.6144998802729,true
